플랫폼,스트리머,방송시간,최고시청자,평균시청자,뷰어십
SOOP,박현정,149.9,20,8.227484989993329,1233.3
치지직,피쯔,1.6,841,634.25,1014.8
치지직,끠월마녀,11.6,71,52.689655172413794,611.2
치지직,도그홀,31.6,41,19.14240506329114,604.9
SOOP,달리미르,132.2,12,3.758698940998487,496.9
치지직,독특,95,14,4.494736842105263,427
치지직,온쯔 eonjj,47.2,26,8.489406779661017,400.7
치지직,님님잉,18.6,37,20.56451612903226,382.5
SOOP,서경주,38.8,14,8.610824742268042,334.1
치지직,쇼 시,26,22,10.957692307692307,284.9
치지직,띵동 Ddingdong,16.3,29,11.699386503067485,190.7
치지직,서제리,62.3,12,2.869983948635634,178.8
SOOP,오리넉구리,27.3,9,4.9743589743589745,135.8
치지직,콜슝이,26.4,9,4.784090909090909,126.3
치지직,키마곤,26.8,24,4.33955223880597,116.3
SOOP,썽아,6.9,22,16.840579710144926,116.2
치지직,릴쓰,12.1,16,8.256198347107437,99.9
치지직,l전설l,24.8,23,3.9153225806451615,97.1
치지직,커엽소,12.5,29,7.472,93.4
치지직,한돌v,51,6,1.7078431372549019,87.1
SOOP,겜퐁,24,7,3.558333333333333,85.4
치지직,서젼,23,13,3.3347826086956522,76.7
SOOP,식스_-,12.2,11,6.19672131147541,75.6
치지직,연 찬,25.1,6,2.2868525896414345,57.4
치지직,미대곰,16.8,6,3.1785714285714284,53.4
치지직,니마,13.7,17,3.708029197080292,50.8
치지직,이산군,14.8,17,3.3986486486486487,50.3
치지직,게임조무사GameJomusa,28.2,4,1.7730496453900708,50
SOOP,도그홀,10.6,6,4.4245283018867925,46.9
치지직,깨액,9.9,10,4.737373737373737,46.9
SOOP,이산군,14.8,4,3.1283783783783785,46.3
SOOP,화리TV,11.5,5,3.6,41.4
치지직,별밤율,11.3,7,3.017699115044248,34.1
치지직,나냐오 세라,1.6,29,21,33.6
치지직,푸른선장,5,10,6.7,33.5
치지직,데굴알밤,10.9,6,2.6513761467889907,28.9
치지직,댕이뾰이,13.8,5,1.9420289855072463,26.8
치지직,백만봉,11,6,2.4363636363636365,26.8
치지직,현은빈,2.9,13,8.689655172413794,25.2
치지직,마아초,8.7,7,2.839080459770115,24.7
치지직,나는 조아요,4.2,10,4.976190476190476,20.9
치지직,겜퐁,24,4,0.8541666666666666,20.5
치지직,화리TV,11.9,5,1.504201680672269,17.9
치지직,괴몽,3.1,9,5.612903225806452,17.4
SOOP,걍놀고싶어요,8.5,3,2.023529411764706,17.2
SOOP,강드-,4.1,5,3.658536585365854,15
치지직,독크햄,4,6,3.675,14.7
치지직,MULTISSUE,3.5,6,3.8,13.3
치지직,드로즈,2.3,7,5.260869565217392,12.1
치지직,오리넉구리,38.3,3,0.2924281984334204,11.2
치지직,노랑이에용,1.7,11,6.470588235294118,11
치지직,아스드,9.2,5,1.1304347826086956,10.4
치지직,사이다 좋아하는 사람,7.3,3,1.3287671232876712,9.7
치지직,순노,2.3,7,4.173913043478261,9.6
치지직,김머만,3.1,5,3.032258064516129,9.4
치지직,마곰이,1.2,8,6.5,7.8
치지직,갇핑거,0.6,14,11.833333333333334,7.1
치지직,최영화,7.4,3,0.9324324324324325,6.9
치지직,나지안,1.1,9,6.181818181818182,6.8
치지직,겜퀸비,0.8,10,7.875,6.3
치지직,반 스,1.8,5,3.3333333333333335,6
치지직,V4NEL,2.7,4,2,5.4
치지직,초야TV,3.2,4,1.625,5.2
SOOP,김카인,1.5,5,3.466666666666667,5.2
치지직,루스템,7.9,3,0.5949367088607594,4.7
치지직,Lussaphi,6.9,3,0.5942028985507246,4.1
치지직,치킨마요맛집,2.6,3,1.5,3.9
SOOP,pa1mon,1.7,3,2.235294117647059,3.8
치지직,브떱이,2.2,4,1.7272727272727273,3.8
치지직,트냥이,4.3,2,0.8604651162790697,3.7
치지직,작은달,0.9,4,3.4444444444444446,3.1
치지직,꿈은없고걍놀고싶어요,8.3,3,0.37349397590361444,3.1
치지직,김카인 KimCain,1.6,3,1.75,2.8
치지직,o땡글o,3.8,3,0.7368421052631579,2.8
치지직,이누쿠진,2,3,1.35,2.7
치지직,W00,2.2,4,0.9090909090909091,2
치지직,제브 그레이,0.6,4,3,1.8
치지직,피산타,3.2,2,0.46875,1.5
치지직,렉 시,0.8,3,1.875,1.5
치지직,인사과,4.6,2,0.2826086956521739,1.3
치지직,캔빗미,0.8,4,1.25,1
SOOP,야.호.,0.2,4,4,0.8
치지직,차금지,0.1,7,7,0.7
치지직,백이청,2.5,1,0.2,0.5
치지직,빨간행인,0.1,2,2,0.2
